experiment_name,fn,fnr,fp,fpr,has_ocr,image_label,input_mode,mm_label,model,negative_support,positive_support,seed,source,split,support,text_label
phobert-caption,8,0.1568627450980392,0,,True,0,caption,1,phobert-base,0,51,42,facebook,test,51,0
phobert-caption,2,0.04081632653061224,0,,False,0,caption,1,phobert-base,0,49,42,facebook,test,49,0
phobert-caption,26,0.65,0,,True,0,caption,1,phobert-base,0,40,42,threads,test,40,0
phobert-caption,25,0.7575757575757576,0,,True,0,caption,1,phobert-base,0,33,42,threads,test,33,1
phobert-caption,0,,1,0.3333333333333333,True,1,caption,0,phobert-base,3,0,42,threads,test,3,0
phobert-caption,13,0.65,0,,False,0,caption,1,phobert-base,0,20,42,threads,test,20,0
phobert-caption,0,0.0,0,,False,0,caption,1,phobert-base,0,17,42,facebook,test,17,1
phobert-caption,3,0.2727272727272727,0,,True,1,caption,1,phobert-base,0,11,42,threads,test,11,0
phobert-caption,2,0.1111111111111111,0,,True,0,caption,1,phobert-base,0,18,42,facebook,test,18,1
phobert-caption,0,,4,0.26666666666666666,True,0,caption,0,phobert-base,15,0,42,threads,test,15,1
phobert-caption,0,,5,0.7142857142857143,True,1,caption,0,phobert-base,7,0,42,facebook,test,7,0
phobert-caption,5,0.7142857142857143,0,,True,1,caption,1,phobert-base,0,7,42,threads,test,7,1
phobert-caption,0,,4,0.6666666666666666,True,0,caption,0,phobert-base,6,0,42,facebook,test,6,1
phobert-caption,0,0.0,0,,False,1,caption,1,phobert-base,0,3,42,facebook,test,3,1
phobert-caption,0,,2,0.5,False,0,caption,0,phobert-base,4,0,42,threads,test,4,1
phobert-caption,0,,0,0.0,False,0,caption,0,phobert-base,1,0,42,facebook,test,1,1
phobert-caption-ocr,0,,50,0.7352941176470589,True,0,caption_ocr,0,phobert-base,68,0,123,facebook,test,68,0
phobert-caption-ocr,13,0.7222222222222222,0,,False,0,caption_ocr,1,phobert-base,0,18,123,threads,test,18,1
phobert-caption-ocr,2,0.038461538461538464,0,,True,1,caption_ocr,1,phobert-base,0,52,123,facebook,test,52,0
phobert-caption-ocr,0,,41,0.23837209302325582,True,0,caption_ocr,0,phobert-base,172,0,123,threads,test,172,0
phobert-caption-ocr,0,,7,0.05737704918032787,False,0,caption_ocr,0,phobert-base,122,0,123,threads,test,122,0
phobert-caption-ocr,0,,14,0.875,False,0,caption_ocr,0,phobert-base,16,0,123,facebook,test,16,0
phobert-caption-ocr,1,0.3333333333333333,0,,True,1,caption_ocr,1,phobert-base,0,3,123,facebook,test,3,1
phobert-caption-ocr,11,0.21568627450980393,0,,True,0,caption_ocr,1,phobert-base,0,51,123,facebook,test,51,0
phobert-caption-ocr,4,0.08163265306122448,0,,False,0,caption_ocr,1,phobert-base,0,49,123,facebook,test,49,0
phobert-caption-ocr,15,0.375,0,,True,0,caption_ocr,1,phobert-base,0,40,123,threads,test,40,0
phobert-caption-ocr,13,0.3939393939393939,0,,True,0,caption_ocr,1,phobert-base,0,33,123,threads,test,33,1
phobert-caption-ocr,0,,1,0.3333333333333333,True,1,caption_ocr,0,phobert-base,3,0,123,threads,test,3,0
phobert-caption-ocr,18,0.9,0,,False,0,caption_ocr,1,phobert-base,0,20,123,threads,test,20,0
phobert-caption-ocr,2,0.11764705882352941,0,,False,0,caption_ocr,1,phobert-base,0,17,123,facebook,test,17,1
phobert-caption-ocr,1,0.09090909090909091,0,,True,1,caption_ocr,1,phobert-base,0,11,123,threads,test,11,0
phobert-caption-ocr,5,0.2777777777777778,0,,True,0,caption_ocr,1,phobert-base,0,18,123,facebook,test,18,1
phobert-caption-ocr,0,,7,0.4666666666666667,True,0,caption_ocr,0,phobert-base,15,0,123,threads,test,15,1
phobert-caption-ocr,0,,5,0.7142857142857143,True,1,caption_ocr,0,phobert-base,7,0,123,facebook,test,7,0
phobert-caption-ocr,4,0.5714285714285714,0,,True,1,caption_ocr,1,phobert-base,0,7,123,threads,test,7,1
